Felt/område,Kraftbehov 2022 (GWh),Unngåtte utslipp i 2022 (tonn CO₂),Kraftbehov 2030 (GWh),Unngåtte utslipp i 2030 (tonn CO₂),Merknad om nettilknytning
Troll,1400 ,650 000,2100,1100 000,Tilknyttet siden 1996. Plan for økt uttak godkjent i 2021
Gjøa (inkl. Duva, Vega og Nova),380,200 000,380,200 000,Tilknyttet siden 2010
Goliat,420,300 000,420,300 000,Tilknyttet siden 2016
Edvard Grieg/Ivar Aasen (inkl. Solveig og Hanz),,,345,250 000,Tilknyttet Utsirahøyden siden 2022
Valhall (inkl. Hod, PWP-Fenris),450,310 000,640,500 000,Tilknyttet siden 2013. Økt uttak er godkjent
Yggdrasil,,,inntil 900*,400 000,Tilknytning godkjent
Johan Sverdrup,1400,680 000,1400,680 000,Tilknyttet siden 2019
Martin Linge,200,150 000,200 ,150 000,Tilknyttet siden 2021
Gullfaks,,,,100 000,Strøm fra Hywind Tampen siden aug. 2023
Snorre,,,,100 000,Strøm fra Hywind Tampen siden aug. 2023
Gina Krog,,,100,60 000,Tilknyttet  Utsirahøyden siden 2023
Sleipner,,,200 – 300,160 000,Tilknyttet Utsirahøyden via Gina Krog fra mars 2024
Oseberg,,,500,320 000,Plan for tilknytning godkjent i 2022
Njord,,,200,130 000,Olje- og energidepartementet godkjente utbyggingsløsning inklusiv drift med kraft fra land 22.12.2023
Snøhvit/Hammerfest LNG,,,3600,850 000,I aug. 2023 godkjente regjeringen plan for fremtidig drift av Snøhvit og Hammerfest LNG
Ormen Lange/Nyhamna,1750,620 000,1750,620 000,Tilknyttet siden 2007
Draugen,,,350,200 000,Olje- og energidepartementet godkjente utbyggingsløsning inklusiv drift med kraft fra land 22.12.2023
Balder,,,320,150 – 200 000,NVE har hatt Melding om nettilknytning på høring høsten 2023.  
Øvrige landanlegg**,3430,,3430,,
Samlet,9430,2910 000,16835,6270 000,
