"Næring";"2018";"2019";"2020"
"Alle næringer og husholdningene";622;628;601
"Alle næringer og husholdningene ekskl. Utenriks sjøfart";812;832;870
"Jordbruk, skogbruk og fiske";392;677;728
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester";600;653;685
"Industri";84;103;111
"Energi- og vannforsyning, avløp og renovasjon";1020;1014;1063
"Bygge- og anleggsvirksomhet";1617;1678;1627
"Varehandel, rep. av motorvogner, overnatting og servering";1749;1599;1622
"Andre tjenesteytende næringer";1328;1703;1596
"Transport, ekskl. utenriks sjøfart";895;851;1080
"Utenriks sjøfart";0;0;0
"Undervisning, helse- og sosialtjenester";768;715;756
"Offentlig administrasjon og forsvar";836;816;727
"Husholdningene";2200;2266;2209
